ds,Y
1/2/2020,33090.72656
1/3/2020,32949.61328
1/6/2020,32314.60938
1/7/2020,32949.61328
1/8/2020,33231.83594
1/9/2020,35031.01172
1/10/2020,36195.18359
1/13/2020,35348.51563
1/14/2020,35348.51563
1/15/2020,35983.51953
1/16/2020,38100.19531
1/17/2020,37747.41406
1/20/2020,37606.30469
1/21/2020,38100.19531
1/22/2020,39158.53516
1/30/2020,37182.96875
1/31/2020,36336.29688
2/3/2020,37747.41406
2/4/2020,38382.41797
2/5/2020,37747.41406
2/6/2020,37535.74609
2/7/2020,36477.41016
2/10/2020,34642.95703
2/11/2020,35842.40625
2/12/2020,35842.40625
2/13/2020,35560.18359
2/14/2020,35277.95703
2/17/2020,36336.29688
2/18/2020,36689.07813
2/19/2020,36195.18359
2/20/2020,36195.18359
2/21/2020,34925.17969
2/24/2020,32667.38867
2/25/2020,34431.28906
2/26/2020,33161.28125
2/27/2020,33231.83594
2/28/2020,32102.94141
3/2/2020,31855.99609
3/3/2020,33090.72656
3/4/2020,32561.55664
3/5/2020,32914.33594
3/6/2020,33055.44531
3/9/2020,30762.37891
3/10/2020,29915.70898
3/11/2020,27834.30859
3/12/2020,25894.02148
3/13/2020,24694.57031
3/16/2020,23142.33984
3/17/2020,23847.90039
3/18/2020,24377.06836
3/19/2020,23565.67578
3/20/2020,23354.00781
3/23/2020,21731.22266
3/24/2020,22295.66992
3/25/2020,23424.56445
3/26/2020,23495.12109
3/27/2020,23283.45313
3/30/2020,21801.7793
3/31/2020,21766.5
4/1/2020,22648.44922
4/3/2020,24200.67969
4/6/2020,25894.02148
4/7/2020,26105.68945
4/8/2020,26775.9707
4/9/2020,26599.58008
4/10/2020,26035.13281
4/13/2020,26211.52344
4/14/2020,25752.91016
4/15/2020,26317.35742
4/16/2020,26317.35742
4/17/2020,26387.91211
4/20/2020,26176.24609
4/21/2020,24482.90234
4/22/2020,25541.24219
4/23/2020,25541.24219
4/24/2020,25400.13086
4/27/2020,24765.12695
4/28/2020,24800.4043
4/29/2020,25117.90625
5/4/2020,24906.23828
5/5/2020,24906.23828
5/6/2020,25400.13086
5/7/2020,26493.74609
5/8/2020,26811.24805
5/11/2020,27164.02734
5/12/2020,27199.30664
5/13/2020,27940.14258
5/14/2020,28010.69922
5/15/2020,27234.58398
5/18/2020,27446.25195
5/19/2020,27587.36328
5/20/2020,27622.64063
5/21/2020,28010.69922
5/22/2020,27728.47461
5/25/2020,27975.42188
5/26/2020,29633.48438
5/27/2020,28081.25586
5/28/2020,28716.25781
5/29/2020,28292.92188
6/1/2020,29245.42773
6/2/2020,28610.42383
6/3/2020,28927.92578
6/4/2020,29492.37305
6/5/2020,29704.04102
6/8/2020,31044.60352
6/9/2020,30585.99023
6/10/2020,30691.82422
6/11/2020,28575.14648
6/12/2020,29986.26563
6/15/2020,28151.81055
6/16/2020,28716.25781
6/17/2020,28434.03516
6/18/2020,28575.14648
6/19/2020,29245.42773
6/22/2020,29139.59375
6/23/2020,28716.25781
6/24/2020,28434.03516
6/25/2020,28222.36719
6/26/2020,28151.81055
6/29/2020,27164.02734
6/30/2020,26740.69336
7/1/2020,27657.91992
7/2/2020,27516.80859
7/3/2020,27587.36328
7/6/2020,28292.92188
7/7/2020,28645.70313
7/8/2020,28610.42383
7/9/2020,29351.26172
7/10/2020,29280.70508
7/13/2020,29139.59375
7/14/2020,29104.31641
7/15/2020,29174.87109
7/16/2020,29174.87109
7/17/2020,29351.26172
7/20/2020,28786.81445
7/21/2020,28786.81445
7/22/2020,28222.36719
7/23/2020,28116.5332
7/24/2020,26952.35938
7/27/2020,25082.62891
7/28/2020,26705.41406
7/29/2020,26070.41211
7/30/2020,26246.80078
7/31/2020,25858.74414
8/3/2020,26246.80078
8/4/2020,26740.69336
8/5/2020,27340.41797
8/6/2020,26987.63867
8/7/2020,26881.80469
8/10/2020,26881.80469
8/11/2020,27164.02734
8/12/2020,27657.91992
8/13/2020,27975.42188
8/14/2020,27516.80859
8/17/2020,27305.14063
8/18/2020,27093.47266
8/19/2020,27234.58398
8/20/2020,26987.63867
8/21/2020,27481.5293
8/24/2020,27975.42188
8/25/2020,27869.58789
8/26/2020,27763.75391
8/27/2020,27587.36328
8/28/2020,28610.42383
8/31/2020,28892.64844
9/1/2020,29210.15039
9/3/2020,29774.59766
9/4/2020,29704.04102
9/7/2020,28645.70313
9/8/2020,28822.0918
9/9/2020,28786.81445
9/10/2020,28575.14648
9/11/2020,28539.86914
9/14/2020,28575.14648
9/15/2020,28751.53711
9/16/2020,28610.42383
9/17/2020,28575.14648
9/18/2020,28927.92578
9/21/2020,28786.81445
9/22/2020,28716.25781
9/23/2020,29210.15039
9/24/2020,28857.36914
